国名,人数,年月
韓国,240350,2007/1/1
韓国,202365,2007/2/1
韓国,188721,2007/3/1
韓国,190558,2007/4/1
韓国,211355,2007/5/1
韓国,190330,2007/6/1
韓国,254234,2007/7/1
韓国,271377,2007/8/1
韓国,201286,2007/9/1
韓国,222737,2007/10/1
韓国,218488,2007/11/1
韓国,208893,2007/12/1
中国,63093,2007/1/1
中国,75246,2007/2/1
中国,84323,2007/3/1
中国,79778,2007/4/1
中国,70212,2007/5/1
中国,61800,2007/6/1
中国,101370,2007/7/1
中国,99355,2007/8/1
中国,93068,2007/9/1
中国,91186,2007/10/1
中国,69597,2007/11/1
中国,53411,2007/12/1
台湾,87853,2007/1/1
台湾,126734,2007/2/1
台湾,108855,2007/3/1
台湾,124574,2007/4/1
台湾,112637,2007/5/1
台湾,115364,2007/6/1
台湾,140911,2007/7/1
台湾,118560,2007/8/1
台湾,118048,2007/9/1
台湾,130576,2007/10/1
台湾,108125,2007/11/1
台湾,93018,2007/12/1
香港,23230,2007/1/1
香港,41251,2007/2/1
香港,30866,2007/3/1
香港,38039,2007/4/1
香港,27499,2007/5/1
香港,34394,2007/6/1
香港,52690,2007/7/1
香港,40761,2007/8/1
香港,28630,2007/9/1
香港,32015,2007/10/1
香港,34103,2007/11/1
香港,48564,2007/12/1
タイ,7248,2007/1/1
タイ,8175,2007/2/1
タイ,20531,2007/3/1
タイ,27133,2007/4/1
タイ,13296,2007/5/1
タイ,8772,2007/6/1
タイ,11681,2007/7/1
タイ,9589,2007/8/1
タイ,13415,2007/9/1
タイ,20552,2007/10/1
タイ,13281,2007/11/1
タイ,13808,2007/12/1
シンガポール,5071,2007/1/1
シンガポール,8807,2007/2/1
シンガポール,10519,2007/3/1
シンガポール,11546,2007/4/1
シンガポール,12235,2007/5/1
シンガポール,13843,2007/6/1
シンガポール,9963,2007/7/1
シンガポール,6976,2007/8/1
シンガポール,9251,2007/9/1
シンガポール,12529,2007/10/1
シンガポール,20391,2007/11/1
シンガポール,30729,2007/12/1
マレーシア,6254,2007/1/1
マレーシア,6638,2007/2/1
マレーシア,9750,2007/3/1
マレーシア,10781,2007/4/1
マレーシア,8591,2007/5/1
マレーシア,5845,2007/6/1
マレーシア,6216,2007/7/1
マレーシア,5277,2007/8/1
マレーシア,6571,2007/9/1
マレーシア,10945,2007/10/1
マレーシア,10623,2007/11/1
マレーシア,13399,2007/12/1
インドネシア,3489,2007/1/1
インドネシア,3051,2007/2/1
インドネシア,4493,2007/3/1
インドネシア,4562,2007/4/1
インドネシア,4205,2007/5/1
インドネシア,5312,2007/6/1
インドネシア,5688,2007/7/1
インドネシア,3723,2007/8/1
インドネシア,4367,2007/9/1
インドネシア,12025,2007/10/1
インドネシア,4747,2007/11/1
インドネシア,8516,2007/12/1
フィリピン,7586,2007/1/1
フィリピン,5693,2007/2/1
フィリピン,7721,2007/3/1
フィリピン,11284,2007/4/1
フィリピン,9267,2007/5/1
フィリピン,6922,2007/6/1
フィリピン,7344,2007/7/1
フィリピン,6792,2007/8/1
フィリピン,7029,2007/9/1
フィリピン,7616,2007/10/1
フィリピン,6137,2007/11/1
フィリピン,6141,2007/12/1
ベトナム,2480,2007/1/1
ベトナム,1847,2007/2/1
ベトナム,3385,2007/3/1
ベトナム,2467,2007/4/1
