国名,人数,年月
韓国,2535,2021/1/1
韓国,910,2021/2/1
韓国,1956,2021/3/1
韓国,1076,2021/4/1
韓国,950,2021/5/1
韓国,835,2021/6/1
韓国,1808,2021/7/1
韓国,1647,2021/8/1
韓国,2224,2021/9/1
韓国,1921,2021/10/1
韓国,2021,2021/11/1
韓国,1064,2021/12/1
中国,10225,2021/1/1
中国,1747,2021/2/1
中国,3951,2021/3/1
中国,3271,2021/4/1
中国,1823,2021/5/1
中国,1973,2021/6/1
中国,3931,2021/7/1
中国,2396,2021/8/1
中国,3960,2021/9/1
中国,4009,2021/10/1
中国,3189,2021/11/1
中国,1764,2021/12/1
台湾,592,2021/1/1
台湾,423,2021/2/1
台湾,552,2021/3/1
台湾,405,2021/4/1
台湾,327,2021/5/1
台湾,300,2021/6/1
台湾,549,2021/7/1
台湾,387,2021/8/1
台湾,390,2021/9/1
台湾,425,2021/10/1
台湾,390,2021/11/1
台湾,276,2021/12/1
香港,161,2021/1/1
香港,39,2021/2/1
香港,58,2021/3/1
香港,59,2021/4/1
香港,65,2021/5/1
香港,53,2021/6/1
香港,253,2021/7/1
香港,123,2021/8/1
香港,120,2021/9/1
香港,144,2021/10/1
香港,104,2021/11/1
香港,73,2021/12/1
タイ,719,2021/1/1
タイ,92,2021/2/1
タイ,145,2021/3/1
タイ,154,2021/4/1
タイ,235,2021/5/1
タイ,139,2021/6/1
タイ,233,2021/7/1
タイ,272,2021/8/1
タイ,153,2021/9/1
タイ,195,2021/10/1
タイ,248,2021/11/1
タイ,173,2021/12/1
シンガポール,85,2021/1/1
シンガポール,48,2021/2/1
シンガポール,61,2021/3/1
シンガポール,40,2021/4/1
シンガポール,37,2021/5/1
シンガポール,40,2021/6/1
シンガポール,172,2021/7/1
シンガポール,92,2021/8/1
シンガポール,70,2021/9/1
シンガポール,66,2021/10/1
シンガポール,95,2021/11/1
シンガポール,51,2021/12/1
マレーシア,242,2021/1/1
マレーシア,72,2021/2/1
マレーシア,99,2021/3/1
マレーシア,95,2021/4/1
マレーシア,146,2021/5/1
マレーシア,106,2021/6/1
マレーシア,233,2021/7/1
マレーシア,182,2021/8/1
