国名,人数,年月
韓国,147238,2003/1/1
韓国,112988,2003/2/1
韓国,108871,2003/3/1
韓国,87477,2003/4/1
韓国,92072,2003/5/1
韓国,109379,2003/6/1
韓国,161273,2003/7/1
韓国,184536,2003/8/1
韓国,108468,2003/9/1
韓国,127367,2003/10/1
韓国,112975,2003/11/1
韓国,106689,2003/12/1
中国,40824,2003/1/1
中国,41864,2003/2/1
中国,49676,2003/3/1
中国,42706,2003/4/1
中国,11280,2003/5/1
中国,12915,2003/6/1
中国,28767,2003/7/1
中国,46765,2003/8/1
中国,47303,2003/9/1
中国,51007,2003/10/1
中国,42929,2003/11/1
中国,32746,2003/12/1
台湾,68464,2003/1/1
台湾,66734,2003/2/1
台湾,64225,2003/3/1
台湾,46418,2003/4/1
台湾,16983,2003/5/1
台湾,28174,2003/6/1
台湾,89972,2003/7/1
台湾,94087,2003/8/1
台湾,81083,2003/9/1
台湾,97833,2003/10/1
台湾,71558,2003/11/1
台湾,59848,2003/12/1
香港,23793,2003/1/1
香港,25924,2003/2/1
香港,18437,2003/3/1
香港,10703,2003/4/1
香港,11195,2003/5/1
香港,22778,2003/6/1
香港,31414,2003/7/1
香港,33447,2003/8/1
香港,21047,2003/9/1
香港,18525,2003/10/1
香港,16266,2003/11/1
香港,26685,2003/12/1
タイ,4020,2003/1/1
タイ,4252,2003/2/1
タイ,8970,2003/3/1
タイ,7836,2003/4/1
タイ,5342,2003/5/1
タイ,4877,2003/6/1
タイ,5767,2003/7/1
タイ,5822,2003/8/1
タイ,7115,2003/9/1
タイ,12642,2003/10/1
タイ,6527,2003/11/1
タイ,6852,2003/12/1
シンガポール,4112,2003/1/1
シンガポール,4522,2003/2/1
シンガポール,6682,2003/3/1
シンガポール,3259,2003/4/1
シンガポール,2845,2003/5/1
シンガポール,6897,2003/6/1
シンガポール,5433,2003/7/1
シンガポール,4752,2003/8/1
シンガポール,7396,2003/9/1
シンガポール,8036,2003/10/1
シンガポール,9642,2003/11/1
シンガポール,13320,2003/12/1
マレーシア,4218,2003/1/1
マレーシア,4525,2003/2/1
マレーシア,6417,2003/3/1
マレーシア,4743,2003/4/1
マレーシア,3685,2003/5/1
マレーシア,4069,2003/6/1
マレーシア,4631,2003/7/1
マレーシア,4883,2003/8/1
マレーシア,6636,2003/9/1
マレーシア,7217,2003/10/1
マレーシア,6825,2003/11/1
マレーシア,7520,2003/12/1
インドネシア,3925,2003/1/1
インドネシア,3026,2003/2/1
インドネシア,3862,2003/3/1
インドネシア,3936,2003/4/1
インドネシア,4989,2003/5/1
インドネシア,7080,2003/6/1
インドネシア,6617,2003/7/1
インドネシア,4812,2003/8/1
インドネシア,5378,2003/9/1
インドネシア,5546,2003/10/1
インドネシア,8256,2003/11/1
インドネシア,7210,2003/12/1
フィリピン,10224,2003/1/1
フィリピン,8728,2003/2/1
フィリピン,12081,2003/3/1
フィリピン,12196,2003/4/1
フィリピン,10988,2003/5/1
フィリピン,10103,2003/6/1
フィリピン,13070,2003/7/1
フィリピン,11878,2003/8/1
フィリピン,12074,2003/9/1
フィリピン,12840,2003/10/1
フィリピン,11373,2003/11/1
フィリピン,12029,2003/12/1
ベトナム,1086,2003/1/1
ベトナム,1130,2003/2/1
ベトナム,1657,2003/3/1
ベトナム,1483,2003/4/1
ベトナム,928,2003/5/1
ベトナム,1207,2003/6/1
ベトナム,1565,2003/7/1
ベトナム,1544,2003/8/1
ベトナム,1956,2003/9/1
ベトナム,1757,2003/10/1
ベトナム,1655,2003/11/1
ベトナム,1126,2003/12/1
インド,4238,2003/1/1
インド,2994,2003/2/1
インド,4291,2003/3/1
インド,2884,2003/4/1
インド,4164,2003/5/1
インド,4282,2003/6/1
インド,4159,2003/7/1
インド,4603,2003/8/1
インド,4041,2003/9/1
インド,4221,2003/10/1
インド,4173,2003/11/1
インド,3470,2003/12/1
イスラエル,661,2003/1/1
イスラエル,623,2003/2/1
イスラエル,845,2003/3/1
イスラエル,743,2003/4/1
イスラエル,697,2003/5/1
イスラエル,873,2003/6/1
イスラエル,857,2003/7/1
イスラエル,785,2003/8/1
イスラエル,976,2003/9/1
イスラエル,1186,2003/10/1
イスラエル,1072,2003/11/1
イスラエル,721,2003/12/1
トルコ,410,2003/1/1
トルコ,568,2003/2/1
トルコ,735,2003/3/1
トルコ,407,2003/4/1
トルコ,470,2003/5/1
トルコ,572,2003/6/1
トルコ,487,2003/7/1
トルコ,490,2003/8/1
トルコ,894,2003/9/1
トルコ,673,2003/10/1
トルコ,541,2003/11/1
トルコ,406,2003/12/1
英国,16746,2003/1/1
英国,14308,2003/2/1
英国,20696,2003/3/1
英国,17783,2003/4/1
英国,14198,2003/5/1
英国,13361,2003/6/1
英国,18779,2003/7/1
英国,18932,2003/8/1
英国,15299,2003/9/1
英国,19289,2003/10/1
英国,16857,2003/11/1
英国,14295,2003/12/1
フランス,6445,2003/1/1
フランス,6748,2003/2/1
フランス,8747,2003/3/1
