国名,人数,年月
その他南アメリカ,2,2020/5/1
その他南アメリカ,5,2020/6/1
その他南アメリカ,11,2020/7/1
その他南アメリカ,25,2020/8/1
その他南アメリカ,32,2020/9/1
その他南アメリカ,73,2020/10/1
その他南アメリカ,116,2020/11/1
その他南アメリカ,97,2020/12/1
豪州,85314,2020/1/1
豪州,48522,2020/2/1
豪州,8767,2020/3/1
豪州,50,2020/4/1
豪州,2,2020/5/1
豪州,11,2020/6/1
豪州,45,2020/7/1
豪州,90,2020/8/1
豪州,88,2020/9/1
豪州,200,2020/10/1
豪州,255,2020/11/1
豪州,164,2020/12/1
ニュージーランド,9328,2020/1/1
ニュージーランド,4901,2020/2/1
ニュージーランド,1351,2020/3/1
ニュージーランド,10,2020/4/1
ニュージーランド,4,2020/5/1
ニュージーランド,7,2020/6/1
ニュージーランド,16,2020/7/1
ニュージーランド,83,2020/8/1
ニュージーランド,57,2020/9/1
ニュージーランド,129,2020/10/1
ニュージーランド,100,2020/11/1
ニュージーランド,84,2020/12/1
その他オセアニア,385,2020/1/1
その他オセアニア,247,2020/2/1
その他オセアニア,119,2020/3/1
その他オセアニア,5,2020/4/1
その他オセアニア,0,2020/5/1
その他オセアニア,1,2020/6/1
その他オセアニア,2,2020/7/1
その他オセアニア,3,2020/8/1
その他オセアニア,4,2020/9/1
その他オセアニア,17,2020/10/1
その他オセアニア,17,2020/11/1
その他オセアニア,8,2020/12/1
無国籍・その他,54,2020/1/1
無国籍・その他,29,2020/2/1
無国籍・その他,12,2020/3/1
無国籍・その他,0,2020/4/1
無国籍・その他,0,2020/5/1
無国籍・その他,1,2020/6/1
無国籍・その他,0,2020/7/1
無国籍・その他,1,2020/8/1
無国籍・その他,4,2020/9/1
無国籍・その他,3,2020/10/1
無国籍・その他,1,2020/11/1
無国籍・その他,2,2020/12/1
