国名,人数,年月
韓国,316812,2020/1/1
韓国,143896,2020/2/1
韓国,16669,2020/3/1
韓国,299,2020/4/1
韓国,18,2020/5/1
韓国,122,2020/6/1
韓国,294,2020/7/1
韓国,749,2020/8/1
韓国,1426,2020/9/1
韓国,2021,2020/10/1
韓国,2825,2020/11/1
韓国,2808,2020/12/1
中国,924790,2020/1/1
中国,87220,2020/2/1
中国,10365,2020/3/1
中国,163,2020/4/1
中国,25,2020/5/1
中国,334,2020/6/1
中国,785,2020/7/1
中国,1606,2020/8/1
中国,2954,2020/9/1
中国,4502,2020/10/1
中国,18147,2020/11/1
中国,18365,2020/12/1
台湾,461239,2020/1/1
台湾,220420,2020/2/1
台湾,7700,2020/3/1
台湾,337,2020/4/1
台湾,8,2020/5/1
台湾,45,2020/6/1
台湾,102,2020/7/1
台湾,448,2020/8/1
台湾,767,2020/9/1
台湾,1258,2020/10/1
台湾,1177,2020/11/1
台湾,975,2020/12/1
香港,219358,2020/1/1
香港,115613,2020/2/1
香港,9917,2020/3/1
香港,14,2020/4/1
香港,1,2020/5/1
香港,7,2020/6/1
香港,19,2020/7/1
香港,41,2020/8/1
香港,89,2020/9/1
香港,221,2020/10/1
香港,453,2020/11/1
香港,287,2020/12/1
タイ,112534,2020/1/1
タイ,97957,2020/2/1
タイ,4805,2020/3/1
タイ,25,2020/4/1
タイ,9,2020/5/1
タイ,12,2020/6/1
タイ,17,2020/7/1
タイ,350,2020/8/1
タイ,1038,2020/9/1
タイ,1365,2020/10/1
タイ,1035,2020/11/1
タイ,683,2020/12/1
シンガポール,30180,2020/1/1
シンガポール,19551,2020/2/1
シンガポール,5050,2020/3/1
シンガポール,1,2020/4/1
シンガポール,0,2020/5/1
シンガポール,5,2020/6/1
シンガポール,13,2020/7/1
シンガポール,21,2020/8/1
シンガポール,30,2020/9/1
シンガポール,140,2020/10/1
シンガポール,161,2020/11/1
シンガポール,121,2020/12/1
マレーシア,44829,2020/1/1
マレーシア,26589,2020/2/1
マレーシア,3287,2020/3/1
マレーシア,20,2020/4/1
マレーシア,4,2020/5/1
マレーシア,13,2020/6/1
マレーシア,6,2020/7/1
マレーシア,223,2020/8/1
マレーシア,242,2020/9/1
マレーシア,630,2020/10/1
マレーシア,430,2020/11/1
マレーシア,300,2020/12/1
インドネシア,37540,2020/1/1
インドネシア,24691,2020/2/1
インドネシア,7370,2020/3/1
インドネシア,96,2020/4/1
インドネシア,5,2020/5/1
インドネシア,18,2020/6/1
インドネシア,54,2020/7/1
インドネシア,230,2020/8/1
インドネシア,299,2020/9/1
インドネシア,675,2020/10/1
インドネシア,3424,2020/11/1
インドネシア,3322,2020/12/1
フィリピン,53588,2020/1/1
フィリピン,39728,2020/2/1
フィリピン,10930,2020/3/1
フィリピン,47,2020/4/1
フィリピン,6,2020/5/1
フィリピン,48,2020/6/1
フィリピン,51,2020/7/1
フィリピン,132,2020/8/1
フィリピン,134,2020/9/1
フィリピン,423,2020/10/1
フィリピン,1704,2020/11/1
フィリピン,2319,2020/12/1
ベトナム,50424,2020/1/1
ベトナム,39905,2020/2/1
ベトナム,20842,2020/3/1
ベトナム,206,2020/4/1
ベトナム,2,2020/5/1
ベトナム,122,2020/6/1
ベトナム,633,2020/7/1
ベトナム,1122,2020/8/1
ベトナム,2698,2020/9/1
ベトナム,6162,2020/10/1
ベトナム,14730,2020/11/1
ベトナム,15713,2020/12/1
インド,13884,2020/1/1
インド,6582,2020/2/1
インド,1948,2020/3/1
インド,26,2020/4/1
インド,29,2020/5/1
インド,69,2020/6/1
インド,346,2020/7/1
インド,278,2020/8/1
インド,389,2020/9/1
インド,714,2020/10/1
インド,1038,2020/11/1
インド,1628,2020/12/1
中東地域,4265,2020/1/1
中東地域,2086,2020/2/1
中東地域,681,2020/3/1
中東地域,17,2020/4/1
中東地域,0,2020/5/1
中東地域,28,2020/6/1
中東地域,26,2020/7/1
中東地域,69,2020/8/1
中東地域,173,2020/9/1
中東地域,194,2020/10/1
中東地域,163,2020/11/1
中東地域,104,2020/12/1
イスラエル,1295,2020/1/1
イスラエル,725,2020/2/1
イスラエル,207,2020/3/1
イスラエル,0,2020/4/1
イスラエル,0,2020/5/1
イスラエル,1,2020/6/1
イスラエル,0,2020/7/1
イスラエル,8,2020/8/1
イスラエル,7,2020/9/1
イスラエル,24,2020/10/1
イスラエル,20,2020/11/1
イスラエル,28,2020/12/1
トルコ,1373,2020/1/1
トルコ,824,2020/2/1
トルコ,394,2020/3/1
トルコ,4,2020/4/1
トルコ,0,2020/5/1
トルコ,3,2020/6/1
トルコ,13,2020/7/1
トルコ,34,2020/8/1
トルコ,44,2020/9/1
トルコ,90,2020/10/1
トルコ,59,2020/11/1
トルコ,48,2020/12/1
GCC6か国,1597,2020/1/1
GCC6か国,537,2020/2/1
GCC6か国,80,2020/3/1
GCC6か国,13,2020/4/1
GCC6か国,0,2020/5/1
GCC6か国,24,2020/6/1
GCC6か国,13,2020/7/1
GCC6か国,27,2020/8/1
GCC6か国,122,2020/9/1
GCC6か国,80,2020/10/1
GCC6か国,84,2020/11/1
GCC6か国,28,2020/12/1
マカオ,9943,2020/1/1
マカオ,2088,2020/2/1
マカオ,155,2020/3/1
マカオ,0,2020/4/1
マカオ,0,2020/5/1
マカオ,1,2020/6/1
マカオ,2,2020/7/1
マカオ,0,2020/8/1
マカオ,13,2020/9/1
マカオ,2,2020/10/1
マカオ,15,2020/11/1
マカオ,15,2020/12/1
モンゴル,3014,2020/1/1
モンゴル,1764,2020/2/1
モンゴル,190,2020/3/1
モンゴル,366,2020/4/1
モンゴル,0,2020/5/1
モンゴル,48,2020/6/1
モンゴル,25,2020/7/1
モンゴル,62,2020/8/1
モンゴル,27,2020/9/1
モンゴル,455,2020/10/1
モンゴル,617,2020/11/1
モンゴル,550,2020/12/1
その他アジア,17966,2020/1/1
その他アジア,12171,2020/2/1
その他アジア,8382,2020/3/1
その他アジア,635,2020/4/1
その他アジア,1432,2020/5/1
その他アジア,1373,2020/6/1
その他アジア,499,2020/7/1
その他アジア,1074,2020/8/1
その他アジア,1404,2020/9/1
その他アジア,4215,2020/10/1
その他アジア,5156,2020/11/1
その他アジア,6391,2020/12/1
英国,24320,2020/1/1
英国,18645,2020/2/1
英国,6778,2020/3/1
英国,29,2020/4/1
英国,6,2020/5/1
英国,30,2020/6/1
英国,55,2020/7/1
英国,150,2020/8/1
英国,101,2020/9/1
英国,253,2020/10/1
英国,304,2020/11/1
英国,353,2020/12/1
フランス,16481,2020/1/1
フランス,17123,2020/2/1
フランス,7665,2020/3/1
フランス,12,2020/4/1
フランス,16,2020/5/1
フランス,16,2020/6/1
フランス,76,2020/7/1
フランス,226,2020/8/1
フランス,116,2020/9/1
フランス,449,2020/10/1
フランス,473,2020/11/1
フランス,449,2020/12/1
ドイツ,11189,2020/1/1
ドイツ,10937,2020/2/1
ドイツ,6472,2020/3/1
ドイツ,9,2020/4/1
ドイツ,4,2020/5/1
ドイツ,14,2020/6/1
ドイツ,47,2020/7/1
ドイツ,112,2020/8/1
ドイツ,93,2020/9/1
ドイツ,269,2020/10/1
ドイツ,343,2020/11/1
ドイツ,296,2020/12/1
イタリア,6921,2020/1/1
イタリア,4718,2020/2/1
イタリア,1488,2020/3/1
イタリア,5,2020/4/1
イタリア,3,2020/5/1
イタリア,8,2020/6/1
イタリア,12,2020/7/1
イタリア,51,2020/8/1
イタリア,68,2020/9/1
イタリア,133,2020/10/1
イタリア,131,2020/11/1
イタリア,153,2020/12/1
ロシア,8399,2020/1/1
ロシア,6702,2020/2/1
ロシア,5639,2020/3/1
ロシア,17,2020/4/1
ロシア,6,2020/5/1
ロシア,0,2020/6/1
ロシア,10,2020/7/1
ロシア,62,2020/8/1
ロシア,61,2020/9/1
ロシア,304,2020/10/1
ロシア,671,2020/11/1
ロシア,389,2020/12/1
スペイン,5157,2020/1/1
スペイン,4329,2020/2/1
スペイン,1765,2020/3/1
スペイン,4,2020/4/1
スペイン,2,2020/5/1
スペイン,10,2020/6/1
スペイン,28,2020/7/1
スペイン,46,2020/8/1
スペイン,65,2020/9/1
スペイン,100,2020/10/1
スペイン,101,2020/11/1
スペイン,134,2020/12/1
スウェーデン,3499,2020/1/1
スウェーデン,2880,2020/2/1
スウェーデン,973,2020/3/1
スウェーデン,0,2020/4/1
スウェーデン,0,2020/5/1
スウェーデン,4,2020/6/1
スウェーデン,9,2020/7/1
スウェーデン,44,2020/8/1
スウェーデン,25,2020/9/1
スウェーデン,53,2020/10/1
スウェーデン,59,2020/11/1
スウェーデン,76,2020/12/1
オランダ,3510,2020/1/1
オランダ,3206,2020/2/1
オランダ,1462,2020/3/1
オランダ,2,2020/4/1
オランダ,1,2020/5/1
オランダ,6,2020/6/1
オランダ,18,2020/7/1
オランダ,29,2020/8/1
オランダ,35,2020/9/1
オランダ,66,2020/10/1
オランダ,73,2020/11/1
オランダ,73,2020/12/1
スイス,2489,2020/1/1
スイス,2322,2020/2/1
スイス,992,2020/3/1
スイス,5,2020/4/1
スイス,1,2020/5/1
スイス,4,2020/6/1
スイス,10,2020/7/1
スイス,22,2020/8/1
スイス,15,2020/9/1
スイス,65,2020/10/1
スイス,44,2020/11/1
スイス,67,2020/12/1
ベルギー,1601,2020/1/1
ベルギー,1603,2020/2/1
ベルギー,688,2020/3/1
ベルギー,1,2020/4/1
ベルギー,0,2020/5/1
ベルギー,5,2020/6/1
ベルギー,4,2020/7/1
ベルギー,38,2020/8/1
ベルギー,9,2020/9/1
ベルギー,41,2020/10/1
ベルギー,38,2020/11/1
ベルギー,46,2020/12/1
フィンランド,1918,2020/1/1
フィンランド,1979,2020/2/1
フィンランド,789,2020/3/1
フィンランド,0,2020/4/1
フィンランド,0,2020/5/1
フィンランド,1,2020/6/1
フィンランド,8,2020/7/1
フィンランド,20,2020/8/1
フィンランド,22,2020/9/1
フィンランド,55,2020/10/1
フィンランド,38,2020/11/1
フィンランド,29,2020/12/1
ポーランド,1889,2020/1/1
ポーランド,1332,2020/2/1
ポーランド,570,2020/3/1
ポーランド,7,2020/4/1
ポーランド,3,2020/5/1
ポーランド,1,2020/6/1
ポーランド,3,2020/7/1
ポーランド,24,2020/8/1
ポーランド,17,2020/9/1
ポーランド,51,2020/10/1
ポーランド,44,2020/11/1
ポーランド,55,2020/12/1
デンマーク,1789,2020/1/1
デンマーク,2046,2020/2/1
デンマーク,803,2020/3/1
デンマーク,0,2020/4/1
デンマーク,1,2020/5/1
デンマーク,2,2020/6/1
デンマーク,6,2020/7/1
デンマーク,19,2020/8/1
デンマーク,17,2020/9/1
デンマーク,28,2020/10/1
デンマーク,39,2020/11/1
デンマーク,30,2020/12/1
ノルウェー,1526,2020/1/1
ノルウェー,1564,2020/2/1
ノルウェー,451,2020/3/1
ノルウェー,1,2020/4/1
ノルウェー,0,2020/5/1
ノルウェー,0,2020/6/1
ノルウェー,8,2020/7/1
ノルウェー,16,2020/8/1
ノルウェー,11,2020/9/1
ノルウェー,11,2020/10/1
ノルウェー,10,2020/11/1
ノルウェー,22,2020/12/1
オーストリア,1473,2020/1/1
オーストリア,1492,2020/2/1
オーストリア,449,2020/3/1
オーストリア,0,2020/4/1
オーストリア,2,2020/5/1
オーストリア,2,2020/6/1
オーストリア,8,2020/7/1
オーストリア,3,2020/8/1
オーストリア,18,2020/9/1
オーストリア,32,2020/10/1
オーストリア,103,2020/11/1
オーストリア,23,2020/12/1
ポルトガル,1932,2020/1/1
ポルトガル,899,2020/2/1
ポルトガル,300,2020/3/1
ポルトガル,0,2020/4/1
ポルトガル,0,2020/5/1
ポルトガル,0,2020/6/1
ポルトガル,3,2020/7/1
ポルトガル,7,2020/8/1
ポルトガル,6,2020/9/1
ポルトガル,14,2020/10/1
ポルトガル,7,2020/11/1
ポルトガル,11,2020/12/1
アイルランド,1656,2020/1/1
アイルランド,1115,2020/2/1
アイルランド,393,2020/3/1
アイルランド,1,2020/4/1
アイルランド,0,2020/5/1
アイルランド,1,2020/6/1
アイルランド,6,2020/7/1
アイルランド,22,2020/8/1
アイルランド,12,2020/9/1
アイルランド,15,2020/10/1
アイルランド,30,2020/11/1
アイルランド,19,2020/12/1
その他ヨーロッパ,6512,2020/1/1
その他ヨーロッパ,5212,2020/2/1
その他ヨーロッパ,2206,2020/3/1
その他ヨーロッパ,16,2020/4/1
その他ヨーロッパ,6,2020/5/1
その他ヨーロッパ,20,2020/6/1
その他ヨーロッパ,40,2020/7/1
その他ヨーロッパ,150,2020/8/1
その他ヨーロッパ,178,2020/9/1
その他ヨーロッパ,440,2020/10/1
その他ヨーロッパ,589,2020/11/1
その他ヨーロッパ,403,2020/12/1
米国,117343,2020/1/1
米国,73373,2020/2/1
米国,22964,2020/3/1
米国,340,2020/4/1
米国,47,2020/5/1
米国,136,2020/6/1
米国,403,2020/7/1
米国,698,2020/8/1
米国,632,2020/9/1
米国,932,2020/10/1
米国,1091,2020/11/1
米国,1348,2020/12/1
カナダ,28931,2020/1/1
カナダ,17601,2020/2/1
カナダ,6149,2020/3/1
カナダ,47,2020/4/1
カナダ,5,2020/5/1
カナダ,17,2020/6/1
カナダ,30,2020/7/1
カナダ,81,2020/8/1
カナダ,69,2020/9/1
カナダ,118,2020/10/1
カナダ,134,2020/11/1
カナダ,183,2020/12/1
メキシコ,4641,2020/1/1
メキシコ,2968,2020/2/1
メキシコ,1691,2020/3/1
メキシコ,64,2020/4/1
メキシコ,1,2020/5/1
メキシコ,3,2020/6/1
メキシコ,2,2020/7/1
メキシコ,7,2020/8/1
メキシコ,11,2020/9/1
メキシコ,34,2020/10/1
メキシコ,57,2020/11/1
メキシコ,49,2020/12/1
その他北アメリカ,1287,2020/1/1
その他北アメリカ,688,2020/2/1
その他北アメリカ,442,2020/3/1
その他北アメリカ,4,2020/4/1
その他北アメリカ,0,2020/5/1
その他北アメリカ,0,2020/6/1
その他北アメリカ,8,2020/7/1
その他北アメリカ,10,2020/8/1
その他北アメリカ,18,2020/9/1
その他北アメリカ,31,2020/10/1
その他北アメリカ,66,2020/11/1
その他北アメリカ,75,2020/12/1
ブラジル,3419,2020/1/1
ブラジル,2010,2020/2/1
ブラジル,995,2020/3/1
ブラジル,13,2020/4/1
ブラジル,2,2020/5/1
ブラジル,10,2020/6/1
ブラジル,17,2020/7/1
ブラジル,45,2020/8/1
ブラジル,42,2020/9/1
ブラジル,87,2020/10/1
ブラジル,151,2020/11/1
ブラジル,97,2020/12/1
その他南アメリカ,4609,2020/1/1
その他南アメリカ,4342,2020/2/1
その他南アメリカ,2016,2020/3/1
その他南アメリカ,6,2020/4/1
