国名,人数,年月
韓国,164785,2004/1/1
韓国,142718,2004/2/1
韓国,112516,2004/3/1
韓国,120427,2004/4/1
韓国,115659,2004/5/1
韓国,116269,2004/6/1
韓国,160770,2004/7/1
韓国,170182,2004/8/1
韓国,113083,2004/9/1
韓国,122877,2004/10/1
韓国,128369,2004/11/1
韓国,120817,2004/12/1
中国,59645,2004/1/1
中国,37906,2004/2/1
中国,55370,2004/3/1
中国,56782,2004/4/1
中国,47561,2004/5/1
中国,41477,2004/6/1
中国,56512,2004/7/1
中国,60316,2004/8/1
中国,58031,2004/9/1
中国,56111,2004/10/1
中国,47522,2004/11/1
中国,38776,2004/12/1
台湾,96786,2004/1/1
台湾,61701,2004/2/1
台湾,82940,2004/3/1
台湾,96606,2004/4/1
台湾,93126,2004/5/1
台湾,102367,2004/6/1
台湾,130520,2004/7/1
台湾,99924,2004/8/1
台湾,82413,2004/9/1
台湾,94104,2004/10/1
台湾,74876,2004/11/1
台湾,65227,2004/12/1
香港,29784,2004/1/1
香港,12000,2004/2/1
香港,16783,2004/3/1
香港,31528,2004/4/1
香港,21609,2004/5/1
香港,30460,2004/6/1
香港,34666,2004/7/1
香港,31172,2004/8/1
香港,21704,2004/9/1
香港,23446,2004/10/1
香港,19173,2004/11/1
香港,27921,2004/12/1
タイ,5197,2004/1/1
タイ,5327,2004/2/1
タイ,12581,2004/3/1
タイ,19227,2004/4/1
タイ,8984,2004/5/1
タイ,6284,2004/6/1
タイ,6439,2004/7/1
タイ,6319,2004/8/1
タイ,7665,2004/9/1
タイ,12457,2004/10/1
タイ,6912,2004/11/1
タイ,7472,2004/12/1
シンガポール,6193,2004/1/1
シンガポール,4017,2004/2/1
シンガポール,6999,2004/3/1
シンガポール,8096,2004/4/1
シンガポール,7361,2004/5/1
シンガポール,10707,2004/6/1
シンガポール,5555,2004/7/1
シンガポール,4863,2004/8/1
シンガポール,5538,2004/9/1
シンガポール,6455,2004/10/1
シンガポール,11157,2004/11/1
シンガポール,13060,2004/12/1
マレーシア,5511,2004/1/1
マレーシア,3997,2004/2/1
マレーシア,7652,2004/3/1
マレーシア,7728,2004/4/1
マレーシア,5845,2004/5/1
マレーシア,5254,2004/6/1
マレーシア,5001,2004/7/1
マレーシア,4613,2004/8/1
マレーシア,5178,2004/9/1
マレーシア,6097,2004/10/1
マレーシア,7849,2004/11/1
マレーシア,7720,2004/12/1
インドネシア,4205,2004/1/1
インドネシア,3185,2004/2/1
インドネシア,3472,2004/3/1
インドネシア,4198,2004/4/1
インドネシア,3728,2004/5/1
インドネシア,5164,2004/6/1
インドネシア,5166,2004/7/1
インドネシア,4146,2004/8/1
インドネシア,4093,2004/9/1
インドネシア,4044,2004/10/1
インドネシア,7483,2004/11/1
インドネシア,6375,2004/12/1
フィリピン,12074,2004/1/1
フィリピン,10962,2004/2/1
フィリピン,13160,2004/3/1
フィリピン,15503,2004/4/1
フィリピン,13858,2004/5/1
フィリピン,11240,2004/6/1
フィリピン,13448,2004/7/1
フィリピン,12654,2004/8/1
フィリピン,12264,2004/9/1
フィリピン,13168,2004/10/1
フィリピン,12828,2004/11/1
フィリピン,13429,2004/12/1
ベトナム,1104,2004/1/1
ベトナム,1331,2004/2/1
ベトナム,1730,2004/3/1
ベトナム,1836,2004/4/1
ベトナム,1500,2004/5/1
ベトナム,1368,2004/6/1
ベトナム,1683,2004/7/1
ベトナム,1779,2004/8/1
ベトナム,1861,2004/9/1
ベトナム,2039,2004/10/1
ベトナム,1677,2004/11/1
ベトナム,1148,2004/12/1
インド,4365,2004/1/1
インド,3715,2004/2/1
インド,4113,2004/3/1
インド,4237,2004/4/1
インド,5879,2004/5/1
インド,4165,2004/6/1
インド,4548,2004/7/1
インド,4521,2004/8/1
インド,4462,2004/9/1
インド,4823,2004/10/1
インド,4411,2004/11/1
インド,3761,2004/12/1
イスラエル,717,2004/1/1
イスラエル,1020,2004/2/1
イスラエル,874,2004/3/1
イスラエル,954,2004/4/1
イスラエル,951,2004/5/1
イスラエル,691,2004/6/1
イスラエル,930,2004/7/1
イスラエル,878,2004/8/1
イスラエル,989,2004/9/1
イスラエル,1102,2004/10/1
イスラエル,1073,2004/11/1
イスラエル,753,2004/12/1
トルコ,440,2004/1/1
トルコ,509,2004/2/1
トルコ,520,2004/3/1
トルコ,826,2004/4/1
トルコ,690,2004/5/1
トルコ,551,2004/6/1
トルコ,512,2004/7/1
トルコ,526,2004/8/1
トルコ,515,2004/9/1
トルコ,648,2004/10/1
トルコ,525,2004/11/1
トルコ,423,2004/12/1
英国,19024,2004/1/1
英国,15900,2004/2/1
英国,17374,2004/3/1
英国,22758,2004/4/1
英国,17916,2004/5/1
英国,14510,2004/6/1
英国,19338,2004/7/1
英国,20523,2004/8/1
英国,16362,2004/9/1
英国,19876,2004/10/1
英国,17018,2004/11/1
英国,15105,2004/12/1
フランス,6396,2004/1/1
フランス,6739,2004/2/1
フランス,7979,2004/3/1
フランス,9246,2004/4/1
フランス,8215,2004/5/1
フランス,6844,2004/6/1
フランス,8763,2004/7/1
フランス,8424,2004/8/1
フランス,7686,2004/9/1
フランス,10216,2004/10/1
フランス,8638,2004/11/1
フランス,6748,2004/12/1
ドイツ,6910,2004/1/1
ドイツ,8534,2004/2/1
ドイツ,10799,2004/3/1
ドイツ,9646,2004/4/1
ドイツ,9401,2004/5/1
ドイツ,7325,2004/6/1
ドイツ,8414,2004/7/1
ドイツ,8088,2004/8/1
ドイツ,8739,2004/9/1
ドイツ,11631,2004/10/1
ドイツ,10128,2004/11/1
ドイツ,6682,2004/12/1
イタリア,2510,2004/1/1
イタリア,2698,2004/2/1
イタリア,3279,2004/3/1
イタリア,2962,2004/4/1
イタリア,3090,2004/5/1
イタリア,2886,2004/6/1
イタリア,3705,2004/7/1
イタリア,3876,2004/8/1
イタリア,3552,2004/9/1
イタリア,4200,2004/10/1
イタリア,3553,2004/11/1
イタリア,2612,2004/12/1
ロシア,2996,2004/1/1
ロシア,3746,2004/2/1
ロシア,4775,2004/3/1
ロシア,4264,2004/4/1
ロシア,4922,2004/5/1
ロシア,4519,2004/6/1
ロシア,6255,2004/7/1
ロシア,5768,2004/8/1
ロシア,5420,2004/9/1
ロシア,4804,2004/10/1
ロシア,4919,2004/11/1
ロシア,4166,2004/12/1
スペイン,1007,2004/1/1
スペイン,1114,2004/2/1
スペイン,1379,2004/3/1
スペイン,1619,2004/4/1
スペイン,1268,2004/5/1
スペイン,1217,2004/6/1
スペイン,2006,2004/7/1
スペイン,2130,2004/8/1
スペイン,1940,2004/9/1
スペイン,2228,2004/10/1
スペイン,1508,2004/11/1
スペイン,1203,2004/12/1
スウェーデン,1538,2004/1/1
スウェーデン,1514,2004/2/1
スウェーデン,2063,2004/3/1
スウェーデン,1998,2004/4/1
スウェーデン,1872,2004/5/1
スウェーデン,1564,2004/6/1
スウェーデン,1460,2004/7/1
スウェーデン,1263,2004/8/1
スウェーデン,1698,2004/9/1
スウェーデン,2659,2004/10/1
スウェーデン,2037,2004/11/1
スウェーデン,1436,2004/12/1
オランダ,2138,2004/1/1
オランダ,1880,2004/2/1
オランダ,2398,2004/3/1
オランダ,2522,2004/4/1
オランダ,2596,2004/5/1
オランダ,1986,2004/6/1
オランダ,2793,2004/7/1
オランダ,2532,2004/8/1
オランダ,2494,2004/9/1
オランダ,3337,2004/10/1
オランダ,2772,2004/11/1
オランダ,1986,2004/12/1
スイス,1143,2004/1/1
スイス,1408,2004/2/1
スイス,1610,2004/3/1
スイス,2087,2004/4/1
スイス,1657,2004/5/1
スイス,1262,2004/6/1
スイス,1930,2004/7/1
スイス,1454,2004/8/1
スイス,1850,2004/9/1
スイス,2491,2004/10/1
スイス,1766,2004/11/1
スイス,1436,2004/12/1
ベルギー,742,2004/1/1
ベルギー,827,2004/2/1
ベルギー,1048,2004/3/1
ベルギー,1103,2004/4/1
ベルギー,1033,2004/5/1
ベルギー,901,2004/6/1
ベルギー,1039,2004/7/1
ベルギー,919,2004/8/1
ベルギー,1013,2004/9/1
ベルギー,1374,2004/10/1
ベルギー,1236,2004/11/1
ベルギー,785,2004/12/1
フィンランド,752,2004/1/1
フィンランド,921,2004/2/1
フィンランド,1114,2004/3/1
フィンランド,995,2004/4/1
フィンランド,1157,2004/5/1
フィンランド,789,2004/6/1
フィンランド,881,2004/7/1
フィンランド,762,2004/8/1
フィンランド,964,2004/9/1
フィンランド,1407,2004/10/1
フィンランド,1236,2004/11/1
フィンランド,815,2004/12/1
ポーランド,381,2004/1/1
ポーランド,392,2004/2/1
ポーランド,461,2004/3/1
ポーランド,484,2004/4/1
ポーランド,661,2004/5/1
ポーランド,443,2004/6/1
ポーランド,491,2004/7/1
ポーランド,410,2004/8/1
ポーランド,702,2004/9/1
ポーランド,664,2004/10/1
ポーランド,644,2004/11/1
ポーランド,384,2004/12/1
デンマーク,817,2004/1/1
デンマーク,843,2004/2/1
デンマーク,1000,2004/3/1
デンマーク,1053,2004/4/1
デンマーク,967,2004/5/1
デンマーク,828,2004/6/1
デンマーク,897,2004/7/1
デンマーク,687,2004/8/1
デンマーク,886,2004/9/1
デンマーク,1238,2004/10/1
デンマーク,1191,2004/11/1
デンマーク,647,2004/12/1
ノルウェー,537,2004/1/1
ノルウェー,636,2004/2/1
ノルウェー,815,2004/3/1
ノルウェー,840,2004/4/1
ノルウェー,578,2004/5/1
ノルウェー,635,2004/6/1
ノルウェー,741,2004/7/1
ノルウェー,505,2004/8/1
ノルウェー,702,2004/9/1
ノルウェー,852,2004/10/1
ノルウェー,773,2004/11/1
ノルウェー,483,2004/12/1
オーストリア,790,2004/1/1
オーストリア,822,2004/2/1
オーストリア,1030,2004/3/1
オーストリア,1108,2004/4/1
オーストリア,843,2004/5/1
オーストリア,731,2004/6/1
オーストリア,986,2004/7/1
オーストリア,808,2004/8/1
オーストリア,1146,2004/9/1
オーストリア,1384,2004/10/1
オーストリア,1172,2004/11/1
オーストリア,739,2004/12/1
ポルトガル,894,2004/1/1
ポルトガル,498,2004/2/1
ポルトガル,553,2004/3/1
ポルトガル,620,2004/4/1
ポルトガル,584,2004/5/1
ポルトガル,1782,2004/6/1
ポルトガル,1278,2004/7/1
ポルトガル,2086,2004/8/1
ポルトガル,580,2004/9/1
ポルトガル,868,2004/10/1
ポルトガル,617,2004/11/1
