国名,人数,年月
韓国,192590,2006/1/1
韓国,174239,2006/2/1
韓国,149071,2006/3/1
韓国,162657,2006/4/1
韓国,161080,2006/5/1
韓国,153706,2006/6/1
韓国,197622,2006/7/1
韓国,220332,2006/8/1
韓国,156451,2006/9/1
韓国,187601,2006/10/1
韓国,177298,2006/11/1
韓国,184678,2006/12/1
中国,68854,2006/1/1
中国,55842,2006/2/1
中国,70491,2006/3/1
中国,73932,2006/4/1
中国,64298,2006/5/1
中国,51243,2006/6/1
中国,81476,2006/7/1
中国,81117,2006/8/1
中国,75161,2006/9/1
中国,76381,2006/10/1
中国,62997,2006/11/1
中国,49883,2006/12/1
台湾,109560,2006/1/1
台湾,92508,2006/2/1
台湾,94927,2006/3/1
台湾,128895,2006/4/1
台湾,110240,2006/5/1
台湾,110294,2006/6/1
台湾,146392,2006/7/1
台湾,112300,2006/8/1
台湾,99364,2006/9/1
台湾,122855,2006/10/1
台湾,95999,2006/11/1
台湾,85787,2006/12/1
香港,36601,2006/1/1
香港,28071,2006/2/1
香港,26440,2006/3/1
香港,34728,2006/4/1
香港,23532,2006/5/1
香港,25408,2006/6/1
香港,35949,2006/7/1
香港,29994,2006/8/1
香港,22567,2006/9/1
香港,27166,2006/10/1
香港,24809,2006/11/1
香港,37000,2006/12/1
タイ,6716,2006/1/1
タイ,6876,2006/2/1
タイ,14779,2006/3/1
タイ,22015,2006/4/1
タイ,10357,2006/5/1
タイ,6741,2006/6/1
タイ,7317,2006/7/1
タイ,6679,2006/8/1
タイ,8750,2006/9/1
タイ,13812,2006/10/1
タイ,10546,2006/11/1
タイ,11116,2006/12/1
シンガポール,6958,2006/1/1
シンガポール,4769,2006/2/1
シンガポール,7597,2006/3/1
シンガポール,10935,2006/4/1
シンガポール,9082,2006/5/1
シンガポール,10777,2006/6/1
シンガポール,7345,2006/7/1
シンガポール,5582,2006/8/1
シンガポール,6883,2006/9/1
シンガポール,10453,2006/10/1
シンガポール,12938,2006/11/1
シンガポール,22551,2006/12/1
マレーシア,6213,2006/1/1
マレーシア,4175,2006/2/1
マレーシア,7501,2006/3/1
マレーシア,10267,2006/4/1
マレーシア,6937,2006/5/1
マレーシア,5270,2006/6/1
マレーシア,5779,2006/7/1
マレーシア,4951,2006/8/1
マレーシア,5857,2006/9/1
マレーシア,9338,2006/10/1
マレーシア,8472,2006/11/1
マレーシア,10867,2006/12/1
インドネシア,3987,2006/1/1
インドネシア,2705,2006/2/1
インドネシア,3544,2006/3/1
インドネシア,6244,2006/4/1
インドネシア,3724,2006/5/1
インドネシア,4657,2006/6/1
インドネシア,5284,2006/7/1
インドネシア,3883,2006/8/1
インドネシア,3996,2006/9/1
インドネシア,9991,2006/10/1
インドネシア,5307,2006/11/1
インドネシア,6589,2006/12/1
フィリピン,8515,2006/1/1
フィリピン,5986,2006/2/1
フィリピン,7613,2006/3/1
フィリピン,10491,2006/4/1
フィリピン,9663,2006/5/1
フィリピン,7860,2006/6/1
フィリピン,8295,2006/7/1
フィリピン,7539,2006/8/1
フィリピン,7600,2006/9/1
フィリピン,8387,2006/10/1
フィリピン,7197,2006/11/1
フィリピン,6384,2006/12/1
ベトナム,1643,2006/1/1
ベトナム,2080,2006/2/1
ベトナム,2246,2006/3/1
ベトナム,2459,2006/4/1
ベトナム,1918,2006/5/1
ベトナム,1811,2006/6/1
ベトナム,2393,2006/7/1
ベトナム,2073,2006/8/1
ベトナム,2488,2006/9/1
ベトナム,2747,2006/10/1
ベトナム,2090,2006/11/1
ベトナム,1689,2006/12/1
インド,5452,2006/1/1
インド,4060,2006/2/1
インド,4834,2006/3/1
インド,5346,2006/4/1
インド,6283,2006/5/1
インド,4904,2006/6/1
インド,5493,2006/7/1
インド,5127,2006/8/1
インド,5402,2006/9/1
インド,5739,2006/10/1
インド,5462,2006/11/1
インド,4403,2006/12/1
イスラエル,661,2006/1/1
イスラエル,687,2006/2/1
イスラエル,1003,2006/3/1
イスラエル,1263,2006/4/1
