国名,人数,年月
韓国,255517,2014/1/1
韓国,231502,2014/2/1
韓国,192078,2014/3/1
韓国,193998,2014/4/1
韓国,195263,2014/5/1
韓国,207588,2014/6/1
韓国,250741,2014/7/1
韓国,251428,2014/8/1
韓国,217689,2014/9/1
韓国,249577,2014/10/1
韓国,239029,2014/11/1
韓国,270903,2014/12/1
中国,155605,2014/1/1
中国,138236,2014/2/1
中国,184064,2014/3/1
中国,190558,2014/4/1
中国,165784,2014/5/1
中国,173046,2014/6/1
中国,281309,2014/7/1
中国,253802,2014/8/1
中国,246105,2014/9/1
中国,223214,2014/10/1
中国,207462,2014/11/1
中国,189973,2014/12/1
台湾,196923,2014/1/1
台湾,191235,2014/2/1
台湾,208610,2014/3/1
台湾,257894,2014/4/1
台湾,281997,2014/5/1
台湾,254274,2014/6/1
台湾,279316,2014/7/1
台湾,229871,2014/8/1
台湾,220797,2014/9/1
台湾,260398,2014/10/1
台湾,236520,2014/11/1
台湾,211986,2014/12/1
香港,63503,2014/1/1
香港,64809,2014/2/1
香港,64482,2014/3/1
香港,79357,2014/4/1
香港,70804,2014/5/1
香港,78129,2014/6/1
香港,91224,2014/7/1
香港,74961,2014/8/1
香港,69872,2014/9/1
香港,77347,2014/10/1
香港,85251,2014/11/1
香港,106236,2014/12/1
タイ,27161,2014/1/1
タイ,34334,2014/2/1
タイ,71122,2014/3/1
タイ,99396,2014/4/1
タイ,62254,2014/5/1
タイ,36323,2014/6/1
タイ,42891,2014/7/1
タイ,29355,2014/8/1
タイ,31058,2014/9/1
タイ,79388,2014/10/1
タイ,68024,2014/11/1
タイ,76264,2014/12/1
シンガポール,10888,2014/1/1
シンガポール,10370,2014/2/1
シンガポール,16378,2014/3/1
シンガポール,18662,2014/4/1
シンガポール,18256,2014/5/1
シンガポール,23298,2014/6/1
シンガポール,13047,2014/7/1
シンガポール,8256,2014/8/1
シンガポール,14132,2014/9/1
シンガポール,20145,2014/10/1
シンガポール,26694,2014/11/1
シンガポール,47836,2014/12/1
マレーシア,13961,2014/1/1
マレーシア,14109,2014/2/1
マレーシア,23372,2014/3/1
マレーシア,25166,2014/4/1
マレーシア,22607,2014/5/1
マレーシア,17029,2014/6/1
マレーシア,16249,2014/7/1
マレーシア,9938,2014/8/1
マレーシア,16083,2014/9/1
マレーシア,24020,2014/10/1
