国名,人数,年月
韓国,129756,2009/1/1
韓国,106929,2009/2/1
韓国,108350,2009/3/1
韓国,113313,2009/4/1
韓国,117897,2009/5/1
韓国,104237,2009/6/1
韓国,170240,2009/7/1
韓国,190987,2009/8/1
韓国,105470,2009/9/1
韓国,131195,2009/10/1
韓国,130371,2009/11/1
韓国,178027,2009/12/1
中国,110262,2009/1/1
中国,62981,2009/2/1
中国,100951,2009/3/1
中国,106816,2009/4/1
中国,60530,2009/5/1
中国,36597,2009/6/1
中国,67944,2009/7/1
中国,109017,2009/8/1
中国,98697,2009/9/1
中国,108301,2009/10/1
中国,81462,2009/11/1
中国,62527,2009/12/1
台湾,97026,2009/1/1
台湾,59248,2009/2/1
台湾,75391,2009/3/1
台湾,91268,2009/4/1
台湾,70297,2009/5/1
台湾,61144,2009/6/1
台湾,115734,2009/7/1
台湾,114751,2009/8/1
台湾,77471,2009/9/1
台湾,97996,2009/10/1
台湾,85335,2009/11/1
台湾,78631,2009/12/1
香港,46555,2009/1/1
香港,22116,2009/2/1
香港,30519,2009/3/1
香港,44968,2009/4/1
香港,27769,2009/5/1
香港,26199,2009/6/1
香港,48951,2009/7/1
香港,47134,2009/8/1
香港,32657,2009/9/1
香港,39823,2009/10/1
香港,32125,2009/11/1
香港,50752,2009/12/1
タイ,8724,2009/1/1
タイ,10563,2009/2/1
タイ,24025,2009/3/1
タイ,29049,2009/4/1
タイ,14046,2009/5/1
タイ,5952,2009/6/1
タイ,9631,2009/7/1
タイ,8085,2009/8/1
タイ,11863,2009/9/1
タイ,24619,2009/10/1
タイ,14298,2009/11/1
タイ,16686,2009/12/1
シンガポール,9058,2009/1/1
シンガポール,5055,2009/2/1
シンガポール,9557,2009/3/1
シンガポール,11964,2009/4/1
シンガポール,9339,2009/5/1
シンガポール,8767,2009/6/1
シンガポール,6839,2009/7/1
シンガポール,6922,2009/8/1
シンガポール,9336,2009/9/1
シンガポール,13592,2009/10/1
シンガポール,19871,2009/11/1
シンガポール,34924,2009/12/1
マレーシア,6195,2009/1/1
マレーシア,4390,2009/2/1
マレーシア,8993,2009/3/1
マレーシア,9161,2009/4/1
マレーシア,5563,2009/5/1
マレーシア,4604,2009/6/1
マレーシア,4907,2009/7/1
マレーシア,4977,2009/8/1
マレーシア,7761,2009/9/1
マレーシア,8459,2009/10/1
マレーシア,9718,2009/11/1
マレーシア,14781,2009/12/1
インドネシア,2968,2009/1/1
インドネシア,2496,2009/2/1
インドネシア,4419,2009/3/1
インドネシア,4646,2009/4/1
インドネシア,3504,2009/5/1
インドネシア,5230,2009/6/1
インドネシア,4719,2009/7/1
インドネシア,4024,2009/8/1
インドネシア,10638,2009/9/1
インドネシア,5587,2009/10/1
インドネシア,5484,2009/11/1
インドネシア,9902,2009/12/1
フィリピン,6655,2009/1/1
フィリピン,4057,2009/2/1
フィリピン,6345,2009/3/1
フィリピン,9276,2009/4/1
フィリピン,6743,2009/5/1
フィリピン,4822,2009/6/1
フィリピン,5193,2009/7/1
フィリピン,5804,2009/8/1
フィリピン,5036,2009/9/1
フィリピン,6138,2009/10/1
フィリピン,5551,2009/11/1
フィリピン,5865,2009/12/1
ベトナム,2405,2009/1/1
ベトナム,2516,2009/2/1
ベトナム,3611,2009/3/1
ベトナム,3059,2009/4/1
ベトナム,2402,2009/5/1
ベトナム,2225,2009/6/1
ベトナム,2511,2009/7/1
ベトナム,2874,2009/8/1
ベトナム,3403,2009/9/1
ベトナム,3397,2009/10/1
ベトナム,3330,2009/11/1
ベトナム,2488,2009/12/1
インド,5325,2009/1/1
インド,3941,2009/2/1
インド,4633,2009/3/1
インド,4764,2009/4/1
インド,5618,2009/5/1
インド,4455,2009/6/1
インド,4889,2009/7/1
インド,5189,2009/8/1
インド,5502,2009/9/1
インド,5274,2009/10/1
インド,5133,2009/11/1
インド,4195,2009/12/1
イスラエル,556,2009/1/1
イスラエル,590,2009/2/1
イスラエル,1294,2009/3/1
イスラエル,1763,2009/4/1
イスラエル,908,2009/5/1
イスラエル,768,2009/6/1
イスラエル,982,2009/7/1
イスラエル,812,2009/8/1
イスラエル,1296,2009/9/1
イスラエル,1673,2009/10/1
イスラエル,979,2009/11/1
イスラエル,584,2009/12/1
トルコ,435,2009/1/1
トルコ,547,2009/2/1
トルコ,719,2009/3/1
トルコ,673,2009/4/1
トルコ,889,2009/5/1
トルコ,604,2009/6/1
トルコ,673,2009/7/1
トルコ,653,2009/8/1
トルコ,643,2009/9/1
トルコ,872,2009/10/1
トルコ,649,2009/11/1
トルコ,481,2009/12/1
英国,13598,2009/1/1
英国,11305,2009/2/1
英国,18837,2009/3/1
英国,20204,2009/4/1
英国,13286,2009/5/1
英国,11376,2009/6/1
英国,16174,2009/7/1
英国,14943,2009/8/1
英国,14418,2009/9/1
英国,18288,2009/10/1
英国,15264,2009/11/1
英国,13767,2009/12/1
フランス,8154,2009/1/1
フランス,7606,2009/2/1
フランス,12193,2009/3/1
フランス,17919,2009/4/1
フランス,13041,2009/5/1
フランス,9103,2009/6/1
フランス,13779,2009/7/1
