国名,人数,年月
韓国,174775,2005/1/1
韓国,148946,2005/2/1
韓国,130963,2005/3/1
韓国,122084,2005/4/1
韓国,114151,2005/5/1
韓国,133177,2005/6/1
韓国,170420,2005/7/1
韓国,193279,2005/8/1
韓国,130269,2005/9/1
韓国,146650,2005/10/1
韓国,140442,2005/11/1
韓国,142015,2005/12/1
中国,48412,2005/1/1
中国,51101,2005/2/1
中国,50649,2005/3/1
中国,56321,2005/4/1
中国,50721,2005/5/1
中国,44086,2005/6/1
中国,60844,2005/7/1
中国,65026,2005/8/1
中国,66216,2005/9/1
中国,61239,2005/10/1
中国,52670,2005/11/1
中国,45535,2005/12/1
台湾,76413,2005/1/1
台湾,96399,2005/2/1
台湾,89753,2005/3/1
台湾,120282,2005/4/1
台湾,114392,2005/5/1
台湾,121516,2005/6/1
台湾,153393,2005/7/1
台湾,116030,2005/8/1
台湾,100895,2005/9/1
台湾,107093,2005/10/1
台湾,93862,2005/11/1
台湾,84584,2005/12/1
香港,17760,2005/1/1
香港,37818,2005/2/1
香港,27248,2005/3/1
香港,16984,2005/4/1
香港,16529,2005/5/1
香港,22984,2005/6/1
香港,32608,2005/7/1
香港,27826,2005/8/1
香港,20303,2005/9/1
香港,21968,2005/10/1
香港,22946,2005/11/1
香港,33836,2005/12/1
タイ,5514,2005/1/1
タイ,6245,2005/2/1
タイ,13479,2005/3/1
タイ,20516,2005/4/1
タイ,11068,2005/5/1
タイ,7469,2005/6/1
タイ,8203,2005/7/1
タイ,7524,2005/8/1
タイ,10373,2005/9/1
タイ,13017,2005/10/1
タイ,7970,2005/11/1
タイ,8860,2005/12/1
シンガポール,4287,2005/1/1
シンガポール,6840,2005/2/1
シンガポール,7974,2005/3/1
シンガポール,7885,2005/4/1
シンガポール,7590,2005/5/1
シンガポール,8493,2005/6/1
シンガポール,5983,2005/7/1
シンガポール,4903,2005/8/1
シンガポール,5989,2005/9/1
シンガポール,7983,2005/10/1
シンガポール,9839,2005/11/1
シンガポール,16395,2005/12/1
マレーシア,3970,2005/1/1
マレーシア,5351,2005/2/1
マレーシア,8345,2005/3/1
マレーシア,8756,2005/4/1
マレーシア,7076,2005/5/1
マレーシア,5551,2005/6/1
マレーシア,4784,2005/7/1
マレーシア,4868,2005/8/1
マレーシア,6161,2005/9/1
マレーシア,7639,2005/10/1
マレーシア,7277,2005/11/1
マレーシア,8395,2005/12/1
インドネシア,3714,2005/1/1
インドネシア,2505,2005/2/1
インドネシア,4699,2005/3/1
インドネシア,4590,2005/4/1
インドネシア,4577,2005/5/1
インドネシア,5597,2005/6/1
インドネシア,5797,2005/7/1
インドネシア,4260,2005/8/1
インドネシア,5039,2005/9/1
インドネシア,6079,2005/10/1
インドネシア,6220,2005/11/1
インドネシア,5897,2005/12/1
フィリピン,11945,2005/1/1
フィリピン,10284,2005/2/1
フィリピン,13022,2005/3/1
フィリピン,16577,2005/4/1
フィリピン,15598,2005/5/1
フィリピン,12485,2005/6/1
フィリピン,14556,2005/7/1
フィリピン,10255,2005/8/1
フィリピン,9895,2005/9/1
フィリピン,9669,2005/10/1
フィリピン,7653,2005/11/1
フィリピン,7633,2005/12/1
ベトナム,1420,2005/1/1
ベトナム,1188,2005/2/1
ベトナム,1912,2005/3/1
ベトナム,2051,2005/4/1
ベトナム,1759,2005/5/1
ベトナム,1915,2005/6/1
ベトナム,2233,2005/7/1
ベトナム,2000,2005/8/1
