国名,人数,年月
韓国,234456,2013/1/1
韓国,234390,2013/2/1
韓国,206946,2013/3/1
韓国,204229,2013/4/1
韓国,228670,2013/5/1
韓国,211465,2013/6/1
韓国,243992,2013/7/1
韓国,215498,2013/8/1
韓国,164499,2013/9/1
韓国,158273,2013/10/1
韓国,170901,2013/11/1
韓国,182846,2013/12/1
中国,72301,2013/1/1
中国,80903,2013/2/1
中国,102265,2013/3/1
中国,100160,2013/4/1
中国,81571,2013/5/1
中国,98996,2013/6/1
中国,139905,2013/7/1
中国,162288,2013/8/1
中国,156201,2013/9/1
中国,121335,2013/10/1
中国,101940,2013/11/1
中国,96572,2013/12/1
台湾,111345,2013/1/1
台湾,150273,2013/2/1
台湾,147438,2013/3/1
台湾,197932,2013/4/1
台湾,195715,2013/5/1
台湾,226974,2013/6/1
台湾,238502,2013/7/1
台湾,194944,2013/8/1
台湾,206844,2013/9/1
台湾,213501,2013/10/1
台湾,177949,2013/11/1
台湾,149404,2013/12/1
香港,31237,2013/1/1
香港,56539,2013/2/1
香港,59405,2013/3/1
香港,55040,2013/4/1
香港,59182,2013/5/1
香港,74711,2013/6/1
香港,85335,2013/7/1
香港,71767,2013/8/1
香港,55379,2013/9/1
香港,62433,2013/10/1
香港,62679,2013/11/1
香港,72174,2013/12/1
タイ,16101,2013/1/1
タイ,19890,2013/2/1
タイ,44848,2013/3/1
タイ,60212,2013/4/1
タイ,40263,2013/5/1
タイ,20502,2013/6/1
タイ,30189,2013/7/1
タイ,23849,2013/8/1
タイ,29278,2013/9/1
タイ,61306,2013/10/1
タイ,51185,2013/11/1
タイ,56019,2013/12/1
シンガポール,7109,2013/1/1
シンガポール,10134,2013/2/1
シンガポール,13409,2013/3/1
シンガポール,14583,2013/4/1
シンガポール,16334,2013/5/1
シンガポール,21735,2013/6/1
シンガポール,11248,2013/7/1
シンガポール,8831,2013/8/1
シンガポール,11597,2013/9/1
シンガポール,16146,2013/10/1
シンガポール,20003,2013/11/1
シンガポール,38151,2013/12/1
マレーシア,7609,2013/1/1
マレーシア,10982,2013/2/1
マレーシア,13401,2013/3/1
マレーシア,14716,2013/4/1
マレーシア,15013,2013/5/1
マレーシア,9802,2013/6/1
マレーシア,9929,2013/7/1
マレーシア,10951,2013/8/1
マレーシア,11681,2013/9/1
マレーシア,17760,2013/10/1
マレーシア,26153,2013/11/1
マレーシア,28524,2013/12/1
インドネシア,6672,2013/1/1
インドネシア,4936,2013/2/1
インドネシア,13341,2013/3/1
インドネシア,15530,2013/4/1
インドネシア,9944,2013/5/1
インドネシア,14804,2013/6/1
インドネシア,8092,2013/7/1
インドネシア,16221,2013/8/1
インドネシア,8694,2013/9/1
インドネシア,10591,2013/10/1
インドネシア,11011,2013/11/1
インドネシア,16961,2013/12/1
フィリピン,7501,2013/1/1
フィリピン,5049,2013/2/1
フィリピン,12177,2013/3/1
フィリピン,12943,2013/4/1
フィリピン,11256,2013/5/1
フィリピン,7441,2013/6/1
フィリピン,6739,2013/7/1
フィリピン,6725,2013/8/1
フィリピン,7886,2013/9/1
フィリピン,10877,2013/10/1
フィリピン,8644,2013/11/1
フィリピン,11113,2013/12/1
ベトナム,4998,2013/1/1
ベトナム,4352,2013/2/1
ベトナム,6781,2013/3/1
ベトナム,12136,2013/4/1
ベトナム,5527,2013/5/1
ベトナム,6344,2013/6/1
ベトナム,7316,2013/7/1
ベトナム,6000,2013/8/1
ベトナム,7370,2013/9/1
ベトナム,11292,2013/10/1
ベトナム,7207,2013/11/1
ベトナム,5146,2013/12/1
インド,6313,2013/1/1
インド,4886,2013/2/1
インド,5845,2013/3/1
インド,6481,2013/4/1
インド,8374,2013/5/1
インド,6984,2013/6/1
インド,6176,2013/7/1
インド,5835,2013/8/1
インド,6372,2013/9/1
インド,6377,2013/10/1
インド,6526,2013/11/1
インド,4926,2013/12/1
イスラエル,609,2013/1/1
イスラエル,545,2013/2/1
イスラエル,2845,2013/3/1
イスラエル,1494,2013/4/1
イスラエル,1182,2013/5/1
イスラエル,820,2013/6/1
イスラエル,849,2013/7/1
イスラエル,821,2013/8/1
イスラエル,1922,2013/9/1
イスラエル,1791,2013/10/1
イスラエル,1003,2013/11/1
イスラエル,597,2013/12/1
トルコ,814,2013/1/1
トルコ,740,2013/2/1
トルコ,1070,2013/3/1
トルコ,1140,2013/4/1
トルコ,1111,2013/5/1
トルコ,969,2013/6/1
トルコ,866,2013/7/1
トルコ,1004,2013/8/1
トルコ,1087,2013/9/1
トルコ,1702,2013/10/1
トルコ,1120,2013/11/1
トルコ,841,2013/12/1
英国,11558,2013/1/1
英国,13044,2013/2/1
英国,21832,2013/3/1
英国,18547,2013/4/1
英国,15265,2013/5/1
英国,13697,2013/6/1
英国,17376,2013/7/1
英国,14123,2013/8/1
英国,15809,2013/9/1
英国,20799,2013/10/1
英国,15073,2013/11/1
英国,14675,2013/12/1
フランス,8340,2013/1/1
フランス,8445,2013/2/1
フランス,13062,2013/3/1
フランス,18856,2013/4/1
フランス,12917,2013/5/1
フランス,11399,2013/6/1
フランス,15947,2013/7/1
フランス,15081,2013/8/1
フランス,11873,2013/9/1
フランス,17069,2013/10/1
フランス,11469,2013/11/1
フランス,10434,2013/12/1
ドイツ,6720,2013/1/1
ドイツ,7815,2013/2/1
ドイツ,13193,2013/3/1
ドイツ,11434,2013/4/1
ドイツ,9995,2013/5/1
ドイツ,8926,2013/6/1
ドイツ,9895,2013/7/1
ドイツ,8682,2013/8/1
ドイツ,11788,2013/9/1
ドイツ,13669,2013/10/1
ドイツ,11881,2013/11/1
ドイツ,7778,2013/12/1
イタリア,3142,2013/1/1
イタリア,3134,2013/2/1
イタリア,5705,2013/3/1
イタリア,7083,2013/4/1
イタリア,4853,2013/5/1
イタリア,4628,2013/6/1
イタリア,5958,2013/7/1
イタリア,8725,2013/8/1
イタリア,5550,2013/9/1
イタリア,7470,2013/10/1
イタリア,5574,2013/11/1
イタリア,5406,2013/12/1
ロシア,3771,2013/1/1
ロシア,3126,2013/2/1
ロシア,5862,2013/3/1
ロシア,7283,2013/4/1
ロシア,5124,2013/5/1
ロシア,4126,2013/6/1
ロシア,5345,2013/7/1
ロシア,5168,2013/8/1
ロシア,5073,2013/9/1
ロシア,5798,2013/10/1
ロシア,5750,2013/11/1
ロシア,4076,2013/12/1
スペイン,1670,2013/1/1
スペイン,1737,2013/2/1
スペイン,4053,2013/3/1
スペイン,3162,2013/4/1
スペイン,2896,2013/5/1
スペイン,2888,2013/6/1
スペイン,4941,2013/7/1
スペイン,6989,2013/8/1
スペイン,4628,2013/9/1
スペイン,5326,2013/10/1
スペイン,3295,2013/11/1
スペイン,2876,2013/12/1
スウェーデン,2384,2013/1/1
スウェーデン,2093,2013/2/1
スウェーデン,4436,2013/3/1
スウェーデン,3754,2013/4/1
スウェーデン,2749,2013/5/1
スウェーデン,2653,2013/6/1
