国名,人数,年月
韓国,271583,2008/1/1
韓国,234876,2008/2/1
韓国,187474,2008/3/1
韓国,203812,2008/4/1
韓国,229043,2008/5/1
韓国,195661,2008/6/1
韓国,237947,2008/7/1
韓国,248154,2008/8/1
韓国,159523,2008/9/1
韓国,188804,2008/10/1
韓国,117518,2008/11/1
韓国,108002,2008/12/1
中国,84038,2008/1/1
中国,85134,2008/2/1
中国,90850,2008/3/1
中国,103013,2008/4/1
中国,74637,2008/5/1
中国,61355,2008/6/1
中国,101192,2008/7/1
中国,92976,2008/8/1
中国,93921,2008/9/1
中国,86570,2008/10/1
中国,73131,2008/11/1
中国,53599,2008/12/1
台湾,106560,2008/1/1
台湾,114090,2008/2/1
台湾,95993,2008/3/1
台湾,140833,2008/4/1
台湾,134862,2008/5/1
台湾,130285,2008/6/1
台湾,155231,2008/7/1
台湾,119255,2008/8/1
台湾,102304,2008/9/1
台湾,126308,2008/10/1
台湾,93540,2008/11/1
台湾,70967,2008/12/1
香港,34751,2008/1/1
香港,55739,2008/2/1
香港,49035,2008/3/1
香港,36400,2008/4/1
香港,39104,2008/5/1
香港,52012,2008/6/1
香港,66038,2008/7/1
香港,54047,2008/8/1
香港,39251,2008/9/1
香港,45546,2008/10/1
香港,35787,2008/11/1
香港,42480,2008/12/1
タイ,8019,2008/1/1
タイ,10738,2008/2/1
タイ,26797,2008/3/1
タイ,35476,2008/4/1
タイ,20309,2008/5/1
タイ,9929,2008/6/1
タイ,12124,2008/7/1
タイ,8379,2008/8/1
タイ,13355,2008/9/1
タイ,22602,2008/10/1
タイ,12184,2008/11/1
タイ,11969,2008/12/1
シンガポール,6629,2008/1/1
シンガポール,11707,2008/2/1
シンガポール,14176,2008/3/1
シンガポール,13487,2008/4/1
シンガポール,15699,2008/5/1
シンガポール,16635,2008/6/1
シンガポール,10391,2008/7/1
シンガポール,7785,2008/8/1
シンガポール,10970,2008/9/1
シンガポール,13849,2008/10/1
シンガポール,18358,2008/11/1
シンガポール,28208,2008/12/1
マレーシア,4822,2008/1/1
マレーシア,8377,2008/2/1
マレーシア,10506,2008/3/1
マレーシア,13074,2008/4/1
マレーシア,10508,2008/5/1
